Time(Iteration),Random,NeuralPHE,NeuralPHE_time
1000,969,932,7.298255205154419
2000,1931,1864,17.172706127166748
3000,2887,2774,29.55952215194702
4000,3838,3679,43.367748498916626
5000,4789,4567,59.06592559814453
6000,5746,5446,76.95720505714417
7000,6699,6321,97.50297856330872
8000,7663,7181,120.1517825126648
9000,8625,8049,144.0717010498047
10000,9586,8896,168.89793491363525
11000,10540,9749,195.80924534797668
12000,11501,10594,223.14514899253845
13000,12463,11442,251.4612593650818
14000,13422,12272,282.7701277732849
15000,14395,13092,313.7269215583801
16000,15354,13929,345.757000207901
17000,16320,14766,378.025901556015
18000,17268,15600,415.1990644931793
19000,18231,16409,449.0785450935364
20000,19197,17216,485.7420001029968
21000,20160,18007,521.5680773258209
22000,21127,18772,559.7547721862793
23000,22090,19548,597.7861068248749
24000,23059,20350,635.7840054035187
25000,24021,21121,677.8789558410645
26000,24989,21924,720.2604696750641
27000,25947,22695,764.1597039699554
28000,26913,23471,806.612015247345
29000,27890,24231,851.058201789856
30000,28853,24988,896.068831205368
31000,29809,25728,942.1734354496002
32000,30765,26506,987.8478529453278
33000,31722,27253,1032.7290396690369
34000,32678,27999,1078.3296608924866
35000,33633,28775,1124.7632286548615
36000,34596,29522,1172.3472924232483
37000,35566,30302,1220.5571641921997
38000,36518,31054,1269.9157073497772
39000,37475,31792,1319.0955662727356
40000,38424,32521,1369.3950498104095
41000,39384,33281,1417.6298191547394
42000,40337,34038,1467.7847084999084
43000,41302,34801,1521.1619136333466
44000,42260,35534,1572.6273219585419
45000,43229,36265,1623.328382730484
46000,44190,37020,1678.224844455719
47000,45148,37748,1730.2627477645874
48000,46102,38514,1783.0066211223602
49000,47068,39236,1838.1745569705963
50000,48033,39951,1893.4710330963135
51000,48989,40651,1949.590957403183
52000,49937,41376,2011.7568066120148
53000,50883,42097,2072.6343903541565
54000,51843,42816,2131.8323822021484
55000,52801,43533,2189.9289333820343
56000,53771,44233,2255.8072085380554
57000,54732,44953,2315.5797464847565
58000,55696,45661,2376.2886242866516
59000,56653,46369,2437.089809656143
60000,57614,47097,2496.794464111328
61000,58576,47801,2556.4596741199493
62000,59534,48506,2618.971013069153
63000,60484,49182,2687.692804336548
64000,61438,49880,2750.7270011901855
65000,62395,50587,2812.6362721920013
66000,63355,51320,2882.099318265915
67000,64322,52020,2943.493737220764
68000,65281,52697,3008.071480512619
69000,66234,53391,3072.6205089092255
70000,67193,54075,3136.3921506404877
71000,68158,54755,3199.4259622097015
72000,69120,55450,3262.963708639145
73000,70086,56131,3326.3916671276093
74000,71050,56824,3389.6750848293304
75000,72008,57490,3452.772126197815
76000,72980,58184,3518.3437926769257
77000,73940,58886,3586.3710815906525
78000,74910,59554,3650.902456521988
79000,75874,60250,3716.624428987503
80000,76839,60919,3781.270772457123
81000,77794,61573,3850.340296268463
82000,78753,62259,3924.3391432762146
83000,79720,62939,3997.568507194519
84000,80673,63633,4068.734147310257
85000,81623,64304,4140.784573554993
86000,82585,64985,4213.91023683548
87000,83542,65629,4287.802752494812
88000,84503,66269,4360.611764669418
89000,85459,66900,4434.768104314804
90000,86429,67565,4507.977028369904
91000,87386,68264,4580.457222223282
92000,88329,68929,4655.8612678050995
93000,89298,69582,4728.46187710762
94000,90267,70252,4806.109508275986
95000,91229,70889,4881.756531953812
96000,92187,71545,4957.54919719696
